n,iters
200,1532
200,1542
200,1619
200,1636
200,1526
200,1547
200,1602
200,1574
200,1512
200,1593
200,1507
200,1630
200,1566
200,1582
200,1621
200,1593
200,1534
200,1592
200,1609
200,1575
200,1584
200,1625
200,1601
200,1552
200,1576
200,1535
200,1555
200,1534
200,1516
200,1532
200,1569
200,1574
200,1593
200,1627
200,1593
200,1584
200,1583
200,1542
200,1581
200,1578
200,1531
200,1532
200,1591
200,1569
200,1510
200,1609
200,1591
200,1562
200,1498
200,1542
200,1614
200,1624
200,1570
200,1560
200,1609
200,1618
200,1581
200,1585
200,1545
200,1555
200,1631
200,1587
200,1562
200,1574
200,1513
200,1571
200,1570
200,1516
200,1593
200,1522
200,1528
200,1583
200,1562
200,1565
200,1504
200,1541
200,1555
200,1543
200,1587
200,1592
200,1547
200,1572
200,1511
200,1558
200,1537
200,1574
200,1568
200,1565
200,1500
200,1564
200,1528
200,1603
200,1537
200,1530
200,1556
200,1553
200,1617
200,1550
200,1546
200,1588
200,1519
200,1565
200,1547
200,1630
200,1593
200,1576
200,1541
200,1579
200,1534
200,1551
200,1582
200,1502
200,1582
200,1556
200,1585
200,1570
200,1543
200,1539
200,1648
200,1579
200,1570
200,1569
200,1472
200,1583
200,1598
200,1586
200,1566
200,1579
200,1558
200,1600
200,1579
200,1552
200,1550
200,1542
200,1589
200,1579
200,1597
200,1629
200,1569
200,1537
200,1577
200,1560
200,1561
200,1563
200,1521
200,1603
200,1532
200,1510
200,1568
200,1554
200,1606
200,1580
200,1553
200,1538
200,1564
200,1551
200,1586
200,1627
200,1564
200,1625
200,1515
200,1535
200,1644
200,1582
200,1582
200,1580
200,1594
200,1534
200,1568
200,1547
200,1546
200,1559
200,1620
200,1591
200,1535
200,1529
200,1566
200,1569
200,1570
200,1591
200,1561
200,1575
200,1534
200,1531
200,1567
200,1513
200,1553
200,1566
200,1548
200,1563
200,1547
200,1517
200,1525
200,1588
200,1581
200,1549
200,1593
200,1608
200,1520
200,1613
200,1568
200,1617
200,1606
200,1598
200,1593
200,1597
200,1622
200,1548
200,1593
200,1536
200,1582
200,1566
200,1544
200,1584
200,1602
200,1581
200,1575
200,1600
200,1541
200,1525
200,1580
200,1595
200,1607
200,1581
200,1561
200,1537
200,1614
200,1639
200,1549
200,1564
200,1582
200,1567
200,1552
200,1513
200,1506
200,1603
200,1585
200,1530
200,1570
200,1574
200,1529
200,1545
200,1567
200,1599
200,1560
200,1617
200,1564
200,1547
200,1560
200,1629
200,1511
200,1550
200,1565
200,1603
200,1565
200,1572
200,1585
200,1588
200,1582
200,1604
200,1567
200,1531
200,1583
200,1593
200,1553
200,1595
200,1531
200,1593
200,1541
200,1543
200,1546
200,1556
200,1604
200,1560
200,1620
200,1634
200,1589
200,1529
200,1572
200,1556
200,1612
200,1627
200,1555
200,1588
200,1595
200,1636
200,1569
200,1550
200,1584
200,1531
200,1565
200,1566
200,1579
200,1585
200,1539
200,1558
200,1613
200,1642
200,1618
200,1493
200,1565
200,1597
200,1512
200,1530
200,1560
200,1643
200,1691
200,1573
200,1501
200,1570
200,1565
200,1627
200,1572
200,1594
200,1561
200,1580
200,1597
200,1543
200,1576
200,1656
200,1564
200,1571
200,1587
200,1587
200,1499
200,1539
200,1573
200,1558
200,1615
200,1565
200,1558
200,1571
200,1565
200,1536
200,1521
200,1561
200,1579
200,1614
200,1553
200,1623
200,1600
300,2350
300,2358
300,2414
300,2346
300,2383
300,2377
300,2324
300,2367
300,2343
300,2294
300,2415
300,2380
300,2297
300,2375
300,2373
300,2366
300,2329
300,2332
300,2286
300,2289
300,2398
300,2316
300,2349
300,2267
300,2353
300,2365
300,2388
300,2336
300,2391
300,2350
300,2361
300,2422
300,2348
300,2382
300,2431
300,2312
300,2316
300,2271
300,2371
300,2391
300,2375
300,2378
300,2312
300,2328
300,2435
300,2337
300,2305
300,2393
300,2408
300,2293
300,2441
300,2355
300,2401
300,2361
300,2339
300,2345
300,2328
300,2409
300,2411
300,2442
300,2290
300,2327
300,2342
300,2323
300,2407
300,2449
300,2351
300,2350
300,2358
300,2357
300,2382
300,2409
300,2383
300,2376
300,2307
300,2369
300,2438
300,2365
300,2355
300,2297
300,2367
300,2366
300,2325
300,2348
300,2347
300,2409
300,2377
300,2352
300,2336
300,2358
300,2389
300,2453
300,2373
300,2363
300,2288
300,2373
300,2342
300,2413
300,2406
300,2358
300,2353
300,2396
300,2368
300,2379
300,2412
300,2372
300,2347
300,2413
300,2387
300,2324
300,2390
300,2398
300,2384
300,2355
300,2359
300,2381
300,2303
300,2351
300,2353
300,2394
300,2340
300,2348
300,2325
300,2307
300,2446
300,2436
300,2378
300,2306
300,2322
300,2333
300,2398
300,2344
300,2282
300,2342
300,2363
300,2408
300,2327
300,2394
300,2311
300,2315
300,2335
300,2372
300,2355
300,2466
300,2363
300,2366
300,2312
300,2342
300,2387
300,2434
300,2325
300,2353
300,2355
300,2358
300,2388
300,2395
300,2398
300,2380
300,2383
300,2371
300,2290
300,2310
300,2399
300,2391
300,2310
300,2424
300,2351
300,2367
300,2387
300,2332
300,2352
300,2354
300,2338
300,2340
300,2364
300,2323
300,2398
300,2427
300,2388
300,2277
300,2385
300,2431
300,2327
300,2390
300,2345
300,2361
300,2305
300,2365
300,2331
300,2324
300,2362
300,2320
300,2380
300,2284
300,2335
300,2415
300,2408
300,2392
300,2420
300,2271
300,2376
300,2391
300,2334
300,2427
300,2337
300,2283
300,2328
300,2412
300,2334
300,2371
300,2377
300,2294
300,2309
300,2378
300,2332
300,2341
300,2359
300,2408
300,2329
300,2351
300,2422
300,2374
300,2307
300,2364
300,2355
300,2372
300,2271
300,2270
300,2401
300,2370
300,2350
300,2303
300,2317
300,2406
300,2330
300,2366
300,2434
300,2270
300,2325
300,2318
300,2388
300,2406
300,2337
300,2338
300,2324
300,2348
300,2408
300,2277
300,2351
300,2397
300,2368
300,2377
300,2355
