k,v
3,224492
8,19098
18,22
20,8
19,8
25,1
6,67540
2,212518
5,116159
11,2427
4,177558
1,125991
10,5072
12,1257
17,27
16,84
21,2
7,36766
9,9900
13,604
14,302
15,164
