n,iters
200,2073
200,2068
200,2157
200,2121
200,2085
200,2004
200,2099
200,2107
200,2065
200,2056
200,2043
200,2090
200,2092
200,2132
200,2052
200,2075
200,2006
200,2156
200,2048
200,2100
200,2024
200,2089
200,2116
200,1998
200,2037
200,2061
200,2103
200,2067
200,2015
200,2057
200,2106
200,2121
200,2159
200,2118
200,2085
200,2113
200,2095
200,2075
200,2085
200,2068
200,2094
200,2065
200,2107
200,2012
200,2056
200,2081
200,2066
200,2045
200,2043
200,2011
200,2073
200,2101
200,2097
200,2098
200,2086
200,2021
200,1981
200,2102
200,2121
200,2050
200,2084
200,2007
200,2096
200,2068
200,1991
200,2128
200,2103
200,2136
200,2025
200,2017
200,2079
200,2042
200,2019
200,2121
200,2057
200,2114
200,2106
200,2083
200,2066
200,2121
200,2074
200,2023
200,2002
200,2025
200,2087
200,2074
200,2074
200,2039
200,2037
200,2010
200,2122
200,1999
200,2116
200,2028
200,2095
200,2046
200,1997
200,2128
200,2098
200,2059
200,2099
200,2186
200,2064
200,2000
200,2125
200,2087
200,2041
200,2093
200,2057
200,2073
200,2028
200,2050
200,2009
200,2081
200,2078
200,2109
200,2099
200,2038
200,2180
200,2015
200,2060
200,2056
200,2134
200,1997
200,2077
200,2146
200,2191
200,1975
200,2081
200,2082
200,1986
200,2104
200,2035
200,2115
200,2023
200,2104
200,2066
200,2070
200,2071
200,2103
200,2002
200,2034
200,2053
200,2097
200,2105
200,2175
200,2019
200,2076
200,2068
200,2107
200,2113
200,2139
200,2096
200,2081
200,2030
200,2027
200,2038
200,2093
200,2104
200,2047
200,2075
200,2074
200,2105
200,2182
200,2066
200,2069
200,2026
200,2069
200,2085
200,2080
200,2041
200,2106
200,2022
200,2002
200,2019
200,2077
200,2184
200,2079
200,2060
200,2076
200,2178
200,2091
200,2078
200,2147
200,2029
200,2051
200,2109
200,2003
200,2027
200,2079
200,2037
200,2048
200,2047
200,2064
200,2040
200,2041
200,2107
200,2103
200,2048
200,2109
200,2083
200,2064
200,2102
200,2035
200,2058
200,2107
200,2066
200,1972
200,2082
200,2055
200,2077
200,2088
200,2072
200,2061
200,1987
200,2056
200,2053
200,2061
200,2121
200,2022
200,2078
200,2066
200,2091
200,2066
200,2077
200,2069
200,2056
200,2071
200,2042
200,2123
200,2084
200,2097
200,2066
200,2083
200,2041
200,2031
200,2055
200,2078
200,2095
200,1999
200,2082
200,2044
200,2082
200,2103
200,2089
200,2161
200,2008
200,2065
200,2076
200,2124
200,2058
200,2081
200,2013
200,2059
200,2063
200,2065
200,2147
200,2037
200,2091
200,2073
200,2033
200,2111
200,2025
200,2096
200,2097
200,2179
200,2032
200,2110
200,1998
200,2104
200,2054
200,1964
200,2039
200,2011
200,1982
200,2087
200,2091
200,2055
200,2153
200,2084
200,1999
200,2119
200,2085
200,2116
200,2063
200,2093
200,2096
200,2076
200,2094
200,2021
200,2139
200,2090
200,2076
200,2062
200,2124
200,2116
200,2017
200,2090
200,2066
200,2112
200,2100
200,2077
200,2088
200,2093
200,2108
200,2138
200,2074
200,2083
200,2037
200,2062
200,2132
200,2026
200,2049
200,2065
200,2106
200,2091
200,2162
200,2096
200,2060
200,2052
200,2100
200,2106
200,2055
200,2077
200,2039
200,2085
200,1964
200,2096
200,2124
200,2082
200,2099
200,2103
200,1971
200,2053
200,2089
200,2097
200,2010
200,2075
200,2069
300,3208
300,3222
300,3159
300,3200
300,3275
300,3275
300,3234
300,3230
300,3247
300,3282
300,3229
300,3207
300,3215
300,3190
300,3221
300,3219
300,3223
300,3187
300,3233
300,3208
300,3318
300,3200
300,3205
300,3282
300,3202
300,3196
300,3230
300,3251
300,3142
300,3242
300,3039
300,3201
300,3185
300,3178
300,3249
300,3247
300,3254
300,3316
300,3179
300,3140
300,3201
300,3296
300,3249
300,3245
300,3204
300,3200
300,3213
300,3320
300,3214
300,3217
300,3189
300,3214
300,3174
300,3218
300,3212
300,3205
300,3233
300,3163
300,3273
300,3280
300,3323
300,3142
300,3143
300,3139
300,3247
300,3308
300,3347
300,3231
300,3166
300,3184
300,3260
300,3288
300,3271
300,3267
300,3187
300,3147
300,3258
300,3186
300,3142
300,3146
300,3212
300,3186
300,3192
300,3341
300,3170
300,3380
300,3230
300,3185
300,3224
300,3210
300,3237
300,3273
300,3218
300,3219
300,3239
300,3264
300,3183
300,3319
300,3222
300,3145
300,3178
300,3248
300,3202
300,3315
300,3167
300,3295
300,3160
300,3225
300,3211
300,3179
300,3229
300,3304
300,3215
300,3301
300,3257
300,3138
300,3229
300,3274
300,3187
300,3162
300,3247
300,3265
300,3238
300,3271
300,3236
300,3284
300,3239
300,3195
300,3242
300,3127
300,3291
300,3256
300,3182
300,3226
300,3261
300,3286
300,3160
300,3166
300,3255
300,3189
300,3332
300,3264
300,3240
300,3212
300,3107
300,3252
300,3237
300,3210
300,3184
300,3199
300,3299
300,3239
300,3229
300,3207
300,3229
300,3237
300,3216
300,3241
300,3309
300,3257
300,3222
300,3214
300,3161
300,3158
300,3285
300,3233
300,3230
300,3274
300,3226
300,3285
300,3255
300,3207
300,3203
300,3222
300,3192
300,3292
300,3186
300,3184
300,3231
300,3230
300,3200
300,3224
300,3191
300,3232
300,3191
300,3223
300,3143
300,3345
300,3214
300,3251
300,3164
300,3227
300,3220
300,3233
300,3268
300,3238
300,3278
300,3358
300,3179
300,3221
300,3266
300,3266
300,3223
300,3180
300,3296
300,3303
300,3205
300,3363
300,3245
300,3216
300,3231
300,3175
300,3182
300,3142
300,3266
300,3235
300,3137
300,3233
300,3297
300,3323
300,3175
300,3219
300,3188
300,3207
300,3157
300,3255
300,3242
300,3187
300,3211
300,3211
300,3187
300,3231
300,3252
300,3221
300,3210
300,3286
300,3293
300,3168
300,3251
300,3190
300,3127
300,3167
300,3272
300,3227
300,3122
300,3181
300,3217
300,3240
300,3271
300,3276
300,3203
300,3287
300,3229
300,3300
300,3224
300,3263
300,3257
300,3191
300,3206
300,3276
300,3176
300,3209
300,3198
300,3203
300,3291
300,3255
300,3277
300,3193
300,3200
300,3224
300,3259
300,3162
300,3200
300,3304
300,3186
300,3220
300,3257
300,3284
300,3218
300,3370
300,3260
300,3203
300,3177
300,3211
300,3239
300,3159
300,3274
300,3228
300,3218
300,3195
300,3282
300,3217
300,3253
300,3309
300,3287
300,3232
300,3175
